layer,region,accuracy
repeat_1,V1,0.1822784692489801
repeat_1,V2,0.1883353737381649
repeat_1,V3,0.1604751524117492
repeat_1,V4,0.12364948206302703
repeat_1,LOC,0.16817640732128555
repeat_1,EBA,0.16904189538129802
repeat_1,FFA,0.1836604569044653
repeat_1,STS,0.10376976344546948
repeat_1,PPA,0.12942432128074022
repeat_2,V1,0.13675869007012184
repeat_2,V2,0.1471591404981145
repeat_2,V3,0.13425501591017333
repeat_2,V4,0.11656710227132637
repeat_2,LOC,0.14916129326249952
repeat_2,EBA,0.15095017301189173
repeat_2,FFA,0.17071288448268374
repeat_2,STS,0.0883270849028681
repeat_2,PPA,0.1156264682219184
repeat_3,V1,0.10808803055225348
repeat_3,V2,0.1177917546644815
repeat_3,V3,0.10971182508494172
repeat_3,V4,0.09906760228245375
repeat_3,LOC,0.11837382237893539
repeat_3,EBA,0.11270631560521607
repeat_3,FFA,0.13105982208736106
repeat_3,STS,0.06868816916483608
repeat_3,PPA,0.10051845928626034
block8,V1,0.11342217587364155
block8,V2,0.11453598712288689
block8,V3,0.09909127202525367
block8,V4,0.09247848447203737
block8,LOC,0.14148031723705976
block8,EBA,0.13900737595252316
block8,FFA,0.16457968589675856
block8,STS,0.08560331223146575
block8,PPA,0.10555955227748581
avgpool_1a,V1,0.09963012233599933
avgpool_1a,V2,0.09454621922575838
avgpool_1a,V3,0.08768110401420172
avgpool_1a,V4,0.08267288146805964
avgpool_1a,LOC,0.14456285478614264
avgpool_1a,EBA,0.1415934168526173
avgpool_1a,FFA,0.17365901826216038
avgpool_1a,STS,0.08715653227349904
avgpool_1a,PPA,0.10466550945429622
